TargetID	ProbeID	MIN_Signal-9257622034_A	AVG_Signal-9257622034_A	MAX_Signal-9257622034_A	NARRAYS-9257622034_A	ARRAY_STDEV-9257622034_A	BEAD_STDEV-9257622034_A	Avg_NBEADS-9257622034_A	Detection-9257622034_A	MIN_Signal-9257622034_B	AVG_Signal-9257622034_B	MAX_Signal-9257622034_B	NARRAYS-9257622034_B	ARRAY_STDEV-9257622034_B	BEAD_STDEV-9257622034_B	Avg_NBEADS-9257622034_B	Detection-9257622034_B	MIN_Signal-9257622034_C	AVG_Signal-9257622034_C	MAX_Signal-9257622034_C	NARRAYS-9257622034_C	ARRAY_STDEV-9257622034_C	BEAD_STDEV-9257622034_C	Avg_NBEADS-9257622034_C	Detection-9257622034_C	MIN_Signal-9257622034_D	AVG_Signal-9257622034_D	MAX_Signal-9257622034_D	NARRAYS-9257622034_D	ARRAY_STDEV-9257622034_D	BEAD_STDEV-9257622034_D	Avg_NBEADS-9257622034_D	Detection-9257622034_D	MIN_Signal-9257622034_E	AVG_Signal-9257622034_E	MAX_Signal-9257622034_E	NARRAYS-9257622034_E	ARRAY_STDEV-9257622034_E	BEAD_STDEV-9257622034_E	Avg_NBEADS-9257622034_E	Detection-9257622034_E	MIN_Signal-9257622034_F	AVG_Signal-9257622034_F	MAX_Signal-9257622034_F	NARRAYS-9257622034_F	ARRAY_STDEV-9257622034_F	BEAD_STDEV-9257622034_F	Avg_NBEADS-9257622034_F	Detection-9257622034_F	MIN_Signal-9257622034_G	AVG_Signal-9257622034_G	MAX_Signal-9257622034_G	NARRAYS-9257622034_G	ARRAY_STDEV-9257622034_G	BEAD_STDEV-9257622034_G	Avg_NBEADS-9257622034_G	Detection-9257622034_G	MIN_Signal-9257622034_H	AVG_Signal-9257622034_H	MAX_Signal-9257622034_H	NARRAYS-9257622034_H	ARRAY_STDEV-9257622034_H	BEAD_STDEV-9257622034_H	Avg_NBEADS-9257622034_H	Detection-9257622034_H	MIN_Signal-9257622034_I	AVG_Signal-9257622034_I	MAX_Signal-9257622034_I	NARRAYS-9257622034_I	ARRAY_STDEV-9257622034_I	BEAD_STDEV-9257622034_I	Avg_NBEADS-9257622034_I	Detection-9257622034_I	MIN_Signal-9257622034_J	AVG_Signal-9257622034_J	MAX_Signal-9257622034_J	NARRAYS-9257622034_J	ARRAY_STDEV-9257622034_J	BEAD_STDEV-9257622034_J	Avg_NBEADS-9257622034_J	Detection-9257622034_J	MIN_Signal-9257622034_K	AVG_Signal-9257622034_K	MAX_Signal-9257622034_K	NARRAYS-9257622034_K	ARRAY_STDEV-9257622034_K	BEAD_STDEV-9257622034_K	Avg_NBEADS-9257622034_K	Detection-9257622034_K	MIN_Signal-9257622034_L	AVG_Signal-9257622034_L	MAX_Signal-9257622034_L	NARRAYS-9257622034_L	ARRAY_STDEV-9257622034_L	BEAD_STDEV-9257622034_L	Avg_NBEADS-9257622034_L	Detection-9257622034_L
7A5	6450255	122.2	122.2	122.2	1	NaN	35.949	22	0.65714	103.8	103.8	103.8	1	NaN	31.227	22	0.35195	119.4	119.4	119.4	1	NaN	36.510	24	0.56753	131.0	131.0	131.0	1	NaN	32.604	26	0.83117	108.5	108.5	108.5	1	NaN	32.408	21	0.55325	100.9	100.9	100.9	1	NaN	21.954	20	0.44416	104.5	104.5	104.5	1	NaN	27.731	22	0.47532	104.0	104.0	104.0	1	NaN	25.903	30	0.54805	99.5	99.5	99.5	1	NaN	24.896	17	0.41169	106.7	106.7	106.7	1	NaN	37.546	23	0.62597	95.4	95.4	95.4	1	NaN	26.584	13	0.37273	98.7	98.7	98.7	1	NaN	22.528	25	0.43896	
A1BG	2570615	178.2	178.2	178.2	1	NaN	56.694	21	0.99610	141.6	141.6	141.6	1	NaN	38.820	19	0.94935	159.2	159.2	159.2	1	NaN	32.789	20	0.97662	159.4	159.4	159.4	1	NaN	39.760	16	0.98701	143.6	143.6	143.6	1	NaN	43.238	18	0.97273	151.4	151.4	151.4	1	NaN	35.757	12	0.98571	147.5	147.5	147.5	1	NaN	55.140	26	0.99221	130.5	130.5	130.5	1	NaN	35.261	24	0.95584	121.7	121.7	121.7	1	NaN	25.548	16	0.88442	107.9	107.9	107.9	1	NaN	28.207	17	0.65455	122.6	122.6	122.6	1	NaN	35.396	16	0.93117	127.6	127.6	127.6	1	NaN	34.251	23	0.95065	
A1BG	6370619	126.6	126.6	126.6	1	NaN	36.757	22	0.74545	134.8	134.8	134.8	1	NaN	41.060	18	0.92208	107.9	107.9	107.9	1	NaN	16.795	18	0.30260	120.2	120.2	120.2	1	NaN	32.699	22	0.65065	105.8	105.8	105.8	1	NaN	28.990	19	0.47143	97.8	97.8	97.8	1	NaN	25.325	22	0.34935	107.4	107.4	107.4	1	NaN	28.515	24	0.56494	104.3	104.3	104.3	1	NaN	21.572	20	0.55714	98.8	98.8	98.8	1	NaN	26.005	22	0.38961	113.0	113.0	113.0	1	NaN	34.962	17	0.77922	109.9	109.9	109.9	1	NaN	33.258	18	0.74805	99.4	99.4	99.4	1	NaN	23.671	20	0.46364	
A1CF	2600039	111.8	111.8	111.8	1	NaN	44.331	20	0.43247	109.7	109.7	109.7	1	NaN	30.246	30	0.46753	152.0	152.0	152.0	1	NaN	42.655	20	0.96364	122.3	122.3	122.3	1	NaN	35.933	28	0.69870	116.4	116.4	116.4	1	NaN	29.557	28	0.73766	148.3	148.3	148.3	1	NaN	40.308	26	0.98571	143.3	143.3	143.3	1	NaN	37.779	18	0.98442	140.8	140.8	140.8	1	NaN	55.426	29	0.98442	120.3	120.3	120.3	1	NaN	26.977	32	0.86883	112.2	112.2	112.2	1	NaN	28.507	23	0.75584	119.4	119.4	119.4	1	NaN	31.262	17	0.89740	104.2	104.2	104.2	1	NaN	25.431	19	0.59351	
A1CF	2650615	130.4	130.4	130.4	1	NaN	37.620	13	0.80000	132.3	132.3	132.3	1	NaN	45.218	20	0.89481	174.9	174.9	174.9	1	NaN	74.997	12	0.98701	118.0	118.0	118.0	1	NaN	43.423	25	0.59221	144.7	144.7	144.7	1	NaN	52.169	23	0.97662	171.6	171.6	171.6	1	NaN	52.903	36	0.99610	121.4	121.4	121.4	1	NaN	28.467	14	0.84026	126.3	126.3	126.3	1	NaN	26.909	20	0.91948	147.9	147.9	147.9	1	NaN	41.979	31	0.98571	135.6	135.6	135.6	1	NaN	43.208	15	0.97013	140.8	140.8	140.8	1	NaN	44.845	15	0.98571	115.4	115.4	115.4	1	NaN	29.328	21	0.84416	
A1CF	5340672	127.4	127.4	127.4	1	NaN	31.164	17	0.75584	115.0	115.0	115.0	1	NaN	26.511	19	0.61688	123.0	123.0	123.0	1	NaN	31.753	16	0.64805	124.0	124.0	124.0	1	NaN	36.856	23	0.73117	94.2	94.2	94.2	1	NaN	18.901	15	0.20519	108.9	108.9	108.9	1	NaN	19.108	17	0.65714	117.8	117.8	117.8	1	NaN	29.045	23	0.79091	101.7	101.7	101.7	1	NaN	26.891	15	0.47403	97.1	97.1	97.1	1	NaN	23.835	18	0.33896	106.8	106.8	106.8	1	NaN	30.963	24	0.62727	113.7	113.7	113.7	1	NaN	39.869	27	0.81948	106.1	106.1	106.1	1	NaN	24.201	22	0.65325	
A26C3	2000519	139.7	139.7	139.7	1	NaN	35.887	20	0.90390	133.1	133.1	133.1	1	NaN	37.894	15	0.90260	130.6	130.6	130.6	1	NaN	33.819	22	0.78961	137.2	137.2	137.2	1	NaN	28.632	22	0.88701	136.6	136.6	136.6	1	NaN	36.897	21	0.94286	149.7	149.7	149.7	1	NaN	45.285	15	0.98571	150.8	150.8	150.8	1	NaN	59.733	15	0.99481	133.4	133.4	133.4	1	NaN	42.358	13	0.96623	115.2	115.2	115.2	1	NaN	35.137	21	0.78571	134.5	134.5	134.5	1	NaN	30.973	23	0.96883	118.7	118.7	118.7	1	NaN	35.514	14	0.88961	112.9	112.9	112.9	1	NaN	34.579	16	0.78831	
A26C3	3870044	93.1	93.1	93.1	1	NaN	27.734	19	0.10519	87.9	87.9	87.9	1	NaN	29.964	29	0.07792	89.3	89.3	89.3	1	NaN	30.077	16	0.04935	82.8	82.8	82.8	1	NaN	26.099	13	0.01688	88.2	88.2	88.2	1	NaN	24.704	19	0.12338	83.4	83.4	83.4	1	NaN	31.839	19	0.08701	81.7	81.7	81.7	1	NaN	25.470	22	0.03766	81.2	81.2	81.2	1	NaN	20.893	30	0.07403	67.1	67.1	67.1	1	NaN	20.254	21	0.00130	82.3	82.3	82.3	1	NaN	25.391	29	0.08442	77.5	77.5	77.5	1	NaN	32.279	25	0.05065	75.7	75.7	75.7	1	NaN	20.099	22	0.02078	
A26C3	7050209	112.8	112.8	112.8	1	NaN	35.533	17	0.45455	118.8	118.8	118.8	1	NaN	32.133	32	0.68961	138.8	138.8	138.8	1	NaN	35.663	22	0.88961	125.9	125.9	125.9	1	NaN	34.966	19	0.75584	111.0	111.0	111.0	1	NaN	32.160	23	0.60519	96.9	96.9	96.9	1	NaN	27.026	20	0.32987	108.5	108.5	108.5	1	NaN	37.018	25	0.58571	105.2	105.2	105.2	1	NaN	33.573	20	0.57792	111.2	111.2	111.2	1	NaN	29.849	23	0.70649	119.1	119.1	119.1	1	NaN	33.361	22	0.87273	101.0	101.0	101.0	1	NaN	26.904	26	0.52338	117.3	117.3	117.3	1	NaN	50.343	13	0.86364	
A2BP1	1580181	130.1	130.1	130.1	1	NaN	35.745	20	0.79740	112.1	112.1	112.1	1	NaN	29.329	25	0.55195	140.0	140.0	140.0	1	NaN	42.472	13	0.90130	130.3	130.3	130.3	1	NaN	31.439	15	0.82468	109.0	109.0	109.0	1	NaN	31.805	26	0.56623	116.2	116.2	116.2	1	NaN	39.996	34	0.81299	105.3	105.3	105.3	1	NaN	24.845	39	0.49740	118.0	118.0	118.0	1	NaN	41.314	22	0.84156	106.8	106.8	106.8	1	NaN	27.595	25	0.61818	124.5	124.5	124.5	1	NaN	33.514	28	0.92208	120.7	120.7	120.7	1	NaN	33.205	25	0.91039	116.8	116.8	116.8	1	NaN	32.857	25	0.85455	
