#bin	chrom	chromStart	chromEnd	ix	n	size	type	bridge
585	chr20	0	10000	1	N	10000	telomere	no
585	chr20	10000	60000	2	N	50000	contig	no
98	chr20	26319569	26369569	274	N	50000	clone	no
12	chr20	26369569	29369569	275	N	3000000	centromere	no
809	chr20	29369569	29419569	276	N	50000	clone	no
101	chr20	29653908	29803908	279	N	150000	contig	no
851	chr20	34897085	34947085	336	N	50000	clone	yes
1051	chr20	61091437	61141437	624	N	50000	clone	yes
1052	chr20	61213369	61263369	628	N	50000	contig	no
1065	chr20	62965520	63015520	648	N	50000	contig	no
1065	chr20	63015520	63025520	649	N	10000	telomere	no
